from_stop_id,to_stop_id,transfer_type,min_transfer_time
1001979,1006036,2,112
1006036,1001979,2,112
1006206,1006034,2,29
1003674,1002425,2,137
1003674,1006033,2,53
1002425,1003674,2,137
1002425,1006205,2,37
1002425,1006033,2,105
1002425,1009134,2,109
1003891,1001981,2,30
1001844,1004161,2,121
1001844,1009132,2,97
1001000,1000999,2,18
1000942,1000943,2,122
1003570,1003745,2,114
1003570,1003075,2,59
1000840,1003149,2,138
1000840,1000839,2,71
1000840,1003745,2,124
1003149,1000840,2,138
1003149,1002851,2,125
1003149,1000839,2,68
1002339,1002272,2,116
1002339,1003446,2,136
1002339,1002851,2,39
1002272,1002339,2,116
1002272,1001765,2,119
1002272,1002554,2,140
1002272,1003446,2,22
1001765,1002272,2,119
1001765,1002554,2,27
1001765,1003446,2,117
1002554,1002272,2,140
1002554,1001765,2,27
1002554,1003446,2,135
1003446,1002339,2,136
1003446,1002272,2,22
1003446,1001765,2,117
1003446,1002554,2,135
1002851,1003149,2,125
1002851,1002339,2,39
1000839,1000840,2,71
1000839,1003149,2,68
1003745,1003570,2,114
1003745,1000840,2,124
1003745,1003075,2,134
1003075,1003570,2,59
1003075,1003745,2,134
1000943,1000942,2,122
1000999,1001000,2,18
1004161,1001844,2,121
1004161,1003646,2,136
1004161,1009132,2,24
1001981,1003891,2,30
1006205,1002425,2,37
1006205,1006033,2,139
1006205,1009134,2,80
1006033,1003674,2,53
1006033,1002425,2,105
1006033,1006205,2,139
1006034,1006206,2,29
1001509,1002556,2,78
1001785,1000165,2,90
1001785,1001784,2,78
1001785,1000166,2,131
1003320,1003392,2,27
1000484,1000270,2,22
1005034,1000600,2,24
1000944,1002012,2,117
1000944,1008646,2,93
1000944,1005062,2,131
1000944,1001247,2,34
1000944,1003264,2,134
1003538,1002264,2,125
1003538,1005062,2,94
1004190,1004188,2,23
1002675,1001955,2,81
1002675,1001395,2,120
1002675,1001610,2,24
1001955,1002675,2,81
1001955,1001395,2,42
