trip_id,start_time,end_time,headway_secs,exact_times,agency_name
weekend_S4060_S406002_0rapidkl,06:00:00,09:20:00,2400,0,Rapid KL
weekend_S4060_S406002_1rapidkl,10:05:00,15:20:00,2700,0,Rapid KL
weekend_S4060_S406002_2rapidkl,16:00:00,22:00:00,2400,0,Rapid KL
weekday_S0100_S010002_0rapidkl,06:00:00,23:30:00,600,0,Rapid KL
weekend_S0100_S010002_0rapidkl,06:00:00,23:30:00,600,0,Rapid KL
weekend_S3040_S304002_0rapidkl,06:00:00,09:30:00,10800,0,Rapid KL
weekend_S3040_S304002_1rapidkl,12:30:00,21:30:00,10800,0,Rapid KL
weekday_S1040_S104002_0rapidkl,06:00:00,19:30:00,1800,0,Rapid KL
weekday_S1040_S104002_1rapidkl,20:00:00,21:00:00,3600,0,Rapid KL
weekend_S1040_S104002_0rapidkl,06:00:00,19:30:00,1800,0,Rapid KL
weekend_S1040_S104002_1rapidkl,20:00:00,21:00:00,3600,0,Rapid KL
weekday_S1140_S114002_0rapidkl,06:00:00,06:40:00,1200,0,Rapid KL
weekday_S1140_S114002_1rapidkl,07:00:00,19:00:00,1800,0,Rapid KL
weekday_S1140_S114002_2rapidkl,19:40:00,20:10:00,1800,0,Rapid KL
weekday_S1140_S114002_3rapidkl,21:00:00,21:20:00,3000,0,Rapid KL
weekend_S1030_S103002_0rapidkl,06:00:00,21:00:00,1800,0,Rapid KL
weekend_S1140_S114002_0rapidkl,06:00:00,06:40:00,1200,0,Rapid KL
weekend_S1140_S114002_1rapidkl,07:00:00,19:00:00,1800,0,Rapid KL
weekend_S1140_S114002_2rapidkl,19:40:00,20:10:00,1800,0,Rapid KL
weekday_S3020_S302002_0rapidkl,06:00:00,06:30:00,1800,0,Rapid KL
weekday_S3020_S302002_1rapidkl,07:30:00,08:00:00,1800,0,Rapid KL
weekday_S3020_S302002_2rapidkl,09:00:00,09:30:00,1800,0,Rapid KL
weekday_S3020_S302002_3rapidkl,10:30:00,11:00:00,1800,0,Rapid KL
weekday_S3020_S302002_4rapidkl,12:00:00,12:30:00,1800,0,Rapid KL
weekday_S3020_S302002_5rapidkl,13:30:00,14:00:00,1800,0,Rapid KL
weekday_S3020_S302002_6rapidkl,15:00:00,15:30:00,1800,0,Rapid KL
weekday_S3020_S302002_7rapidkl,16:30:00,17:00:00,1800,0,Rapid KL
weekday_S3020_S302002_8rapidkl,18:00:00,18:30:00,1800,0,Rapid KL
weekday_S3020_S302002_9rapidkl,19:30:00,20:15:00,2700,0,Rapid KL
weekday_S3020_S302002_10rapidkl,21:00:00,21:30:00,1800,0,Rapid KL
weekend_S3020_S302002_0rapidkl,06:00:00,06:30:00,1800,0,Rapid KL
weekend_S3020_S302002_1rapidkl,07:30:00,08:00:00,1800,0,Rapid KL
weekend_S3020_S302002_2rapidkl,09:00:00,09:30:00,1800,0,Rapid KL
weekend_S3020_S302002_3rapidkl,10:30:00,11:00:00,1800,0,Rapid KL
weekend_S3020_S302002_4rapidkl,12:00:00,12:30:00,1800,0,Rapid KL
weekend_S3020_S302002_5rapidkl,13:30:00,14:00:00,1800,0,Rapid KL
weekend_S3020_S302002_6rapidkl,15:00:00,15:30:00,1800,0,Rapid KL
weekend_S3020_S302002_7rapidkl,16:30:00,17:00:00,1800,0,Rapid KL
weekend_S3020_S302002_8rapidkl,18:00:00,18:30:00,1800,0,Rapid KL
weekend_S3020_S302002_9rapidkl,19:30:00,20:15:00,2700,0,Rapid KL
weekend_S3020_S302002_10rapidkl,21:00:00,21:30:00,1800,0,Rapid KL
weekday_S3040_S304002_0rapidkl,06:30:00,09:30:00,10800,0,Rapid KL
weekday_S3040_S304002_1rapidkl,12:30:00,21:30:00,10800,0,Rapid KL
weekday_R0200_R020002_0rapidkl,06:35:00,08:05:00,1800,0,Rapid KL
weekday_R0200_R020002_1rapidkl,17:35:00,18:05:00,1800,0,Rapid KL
