stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_code,agency_name,agency_id
1001828rapidkl,PJ445 LRT TAMAN JAYA,PERS BARAT,3.103876,101.644993,,Rapid KL,rapidkl
1006035rapidkl,PJ84 PJ WALK,JLN SULTAN,3.100201666,101.6452966,,Rapid KL,rapidkl
1001979rapidkl,PJ434 DEWAN SIVIK MBPJ,JLN YONG SHOOK LIN,3.098113,101.645854,,Rapid KL,rapidkl
1006036rapidkl,PJ757 WISMA IEM,JLN SELANGOR,3.098985,101.646956,,Rapid KL,rapidkl
1006206rapidkl,PJ451 WISMA PERKESO,JLN SELANGOR,3.094789,101.646736,,Rapid KL,rapidkl
1003674rapidkl,PJ452 KOMPLEKS ARENA PJ,JLN SELANGOR,3.092533,101.645975,,Rapid KL,rapidkl
1002425rapidkl,PJ453 PERPUSTAKAAN KOMUNITI PJ,JLN SELANGOR,3.0908059472778,101.64604883686,,Rapid KL,rapidkl
1003891rapidkl,(M) PJ469 TERMINAL BAS,JLN OTHMAN,3.087051,101.647131,,Rapid KL,rapidkl
1001844rapidkl,PJ455 MAHKAMAH SYARIAH,JLN OTHMAN,3.086795,101.650753,,Rapid KL,rapidkl
1001000rapidkl,PJ411 APT INAI COURT (OPP),JLN TEMPLER,3.085194,101.654585,,Rapid KL,rapidkl
1000942rapidkl,PJ737 FLAT TAMAN PERANSANG,JLN KLANG LAMA,3.0814378714851,101.64831904603,,Rapid KL,rapidkl
1000528rapidkl,PJ739 TAMAN DATO HARUN,JLN KLANG LAMA,3.083589507932,101.63527896574,,Rapid KL,rapidkl
1003570rapidkl,PJ741 DESA MENTARI FASA 4 (UTARA),JLN KLANG LAMA,3.0843778280735,101.62811647765,,Rapid KL,rapidkl
1000840rapidkl,PJ145 GERAI PJS 2C,JLN PJS 2,3.081736,101.627329,,Rapid KL,rapidkl
1003149rapidkl,PJ742 PJ SOUTH CITY,JLN PJS 2,3.079994,101.627322,,Rapid KL,rapidkl
1002339rapidkl,PJ147 PJCC,JLN PJS 2,3.077964,101.627341,,Rapid KL,rapidkl
1002272rapidkl,PJ148 PJS 4 (BARAT),JLN PJS 4/27A,3.0766227551742,101.62790886161,,Rapid KL,rapidkl
1001765rapidkl,PJ149 PJS 4 (TIMUR),JLN PJS 4/27 A,3.076324,101.629378,,Rapid KL,rapidkl
1006037rapidkl,PJ137 TERMINAL TAMAN MEDAN,JLN PJS 3/2,3.075537,101.633102,,Rapid KL,rapidkl
1002554rapidkl,PJ138 PJS 4 (TIMUR),JLN PJS 4/27,3.076043,101.629572,,Rapid KL,rapidkl
1003446rapidkl,PJ139 PJS 4 (BARAT),JLN PJS 4/27A,3.0763448090071,101.62789897956,,Rapid KL,rapidkl
1002851rapidkl,PJ140 PJCC,JLN PJS 2,3.078428,101.627186,,Rapid KL,rapidkl
1000839rapidkl,PJ141 PJ SOUTH CITY,JLN PJS 2,3.080845,101.627209,,Rapid KL,rapidkl
1003745rapidkl,PJ143 SURAU MADRASATUL IMANIYA,JLN PJS 2,3.083289,101.627176,,Rapid KL,rapidkl
1003075rapidkl,PJ730 FLAT DESA MENTARI,JLN KLANG LAMA,3.084916,101.627607,,Rapid KL,rapidkl
1003685rapidkl,PJ731 KTM KG DATO HARUN (UTARA),JLN KLANG LAMA,3.084208,101.633581,,Rapid KL,rapidkl
1002254rapidkl,PJ733 TAMAN MAJU JAYA,JLN KLANG LAMA,3.0831545080372,101.64062877884,,Rapid KL,rapidkl
1000943rapidkl,PJ734 TAMAN PETALING UTAMA,JLN KLANG LAMA,3.081794,101.649809,,Rapid KL,rapidkl
1000999rapidkl,PJ412 APT INAI COURT,JLN TEMPLER,3.085098,101.654377,,Rapid KL,rapidkl
1004161rapidkl,PJ413 UITM PJ (OPP),JLN OTHMAN,3.086949,101.652272,,Rapid KL,rapidkl
1001981rapidkl,PJ415 TERMINAL BAS (OPP),JLN OTHMAN,3.086895,101.646789,,Rapid KL,rapidkl
