from_stop_id,to_stop_id,transfer_type,min_transfer_time
1001828,1006035,2,820
1001828,1002556,2,881
1001828,1003857,2,739
1001828,KJ20,2,73
1006035,1001828,2,820
1006035,1001979,2,481
1006035,1006036,2,457
1006035,1001509,2,917
1006035,1002556,2,704
1006035,1000203,2,987
1006035,KJ20,2,864
1001979,1006035,2,481
1001979,1006036,2,312
1001979,1006206,2,765
1001979,1006034,2,691
1001979,1000203,2,991
1006036,1006035,2,457
1006036,1001979,2,312
1006036,1006206,2,934
1006036,1006034,2,876
1006036,1003339,2,763
1006206,1001979,2,765
1006206,1006036,2,934
1006206,1003674,2,529
1006206,1002425,2,899
1006206,1006033,2,669
1006206,1006034,2,82
1006206,1003457,2,764
1003674,1006206,2,529
1003674,1002425,2,384
1003674,1006205,2,487
1003674,1006033,2,149
1003674,1006034,2,577
1003674,1003457,2,652
1003674,1009134,2,678
1002425,1006206,2,899
1002425,1003674,2,384
1002425,1003891,2,869
1002425,1001981,2,885
1002425,1006205,2,104
1002425,1006033,2,295
1002425,1006034,2,954
1002425,1002270,2,855
1002425,1002269,2,871
1002425,1003457,2,692
1002425,1009134,2,305
1003891,1002425,2,869
1003891,1001844,2,806
1003891,1001981,2,83
1003891,1006205,2,776
1003891,1002270,2,710
1003891,1002269,2,604
1003891,1009134,2,568
1001844,1003891,2,806
1001844,1001000,2,922
1001844,1000999,2,889
1001844,1004161,2,339
1001844,1001981,2,881
1001844,1003550,2,982
1001844,1003646,2,523
1001844,1001926,2,965
1001844,1009132,2,272
1001844,1009133,2,974
1001000,1001844,2,922
1001000,1000999,2,51
1001000,1004161,2,645
1001000,1000429,2,875
1001000,1001081,2,700
1001000,1003550,2,439
1001000,1003646,2,937
1001000,1009132,2,702
1001000,1009133,2,475
1001000,1001080,2,708
1001000,53100,2,481
1000942,1000943,2,340
1000942,1002479,2,554
1000528,1003685,2,401
1000528,53400,2,709
1003570,1000840,2,613
1003570,1003149,2,991
1003570,1000839,2,811
1003570,1003745,2,320
1003570,1003075,2,165
1003570,53400,2,943
1000840,1003570,2,613
1000840,1003149,2,387
1000840,1002339,2,839
1000840,1002851,2,736
1000840,1000839,2,200
1000840,1003745,2,347
1000840,1003075,2,710
1003149,1003570,2,991
1003149,1000840,2,387
1003149,1002339,2,451
1003149,1002272,2,761
1003149,1001765,2,935
1003149,1003446,2,822
1003149,1002851,2,350
1003149,1000839,2,191
1003149,1003745,2,733
1002339,1000840,2,839
1002339,1003149,2,451
1002339,1002272,2,324
1002339,1001765,2,581
1002339,1002554,2,654
1002339,1003446,2,381
1002339,1002851,2,109
1002339,1000839,2,641
1002272,1003149,2,761
1002272,1002339,2,324
1002272,1001765,2,333
1002272,1002554,2,391
1002272,1003446,2,62
1002272,1002851,2,432
1002272,1000839,2,952
1001765,1003149,2,935
1001765,1002339,2,581
1001765,1002272,2,333
1001765,1006037,2,845
1001765,1002554,2,76
1001765,1003446,2,328
1001765,1002851,2,675
1006037,1001765,2,845
1006037,1002554,2,792
1002554,1002339,2,654
1002554,1002272,2,391
1002554,1001765,2,76
1002554,1006037,2,792
1002554,1003446,2,378
1002554,1002851,2,750
1003446,1003149,2,822
1003446,1002339,2,381
1003446,1002272,2,62
1003446,1001765,2,328
1003446,1002554,2,378
1003446,1002851,2,490
1002851,1000840,2,736
1002851,1003149,2,350
1002851,1002339,2,109
1002851,1002272,2,432
1002851,1001765,2,675
1002851,1002554,2,750
1002851,1003446,2,490
1002851,1000839,2,538
1000839,1003570,2,811
1000839,1000840,2,200
1000839,1003149,2,191
1000839,1002339,2,641
1000839,1002272,2,952
1000839,1002851,2,538
1000839,1003745,2,544
1000839,1003075,2,910
1003745,1003570,2,320
1003745,1000840,2,347
1003745,1003149,2,733
1003745,1000839,2,544
1003745,1003075,2,374
1003745,1001409,2,896
1003745,1001257,2,954
1003075,1003570,2,165
1003075,1000840,2,710
1003075,1000839,2,910
1003075,1003745,2,374
1003075,1000837,2,972
1003075,1001409,2,976
1003685,1000528,2,401
1003685,53400,2,308
1000943,1000942,2,340
1000943,1002479,2,867
1000943,1000429,2,809
1000999,1001844,2,889
1000999,1001000,2,51
1000999,1004161,2,623
1000999,1000429,2,842
1000999,1001081,2,751
1000999,1003550,2,475
1000999,1003646,2,930
1000999,1009132,2,678
1000999,1009133,2,509
1000999,1001080,2,759
1000999,53100,2,510
1004161,1001844,2,339
1004161,1001000,2,645
1004161,1000999,2,623
1004161,1003550,2,643
1004161,1003646,2,381
1004161,1001926,2,996
1004161,1009132,2,68
1004161,1009133,2,635
1001981,1002425,2,885
1001981,1003891,2,83
1001981,1001844,2,881
1001981,1006205,2,788
1001981,1002270,2,643
1001981,1002269,2,532
1001981,1000046,2,954
1001981,1009134,2,591
1006205,1003674,2,487
1006205,1002425,2,104
1006205,1003891,2,776
1006205,1001981,2,788
1006205,1006033,2,388
1006205,1002270,2,762
1006205,1002269,2,772
1006205,1000046,2,984
1006205,1003457,2,754
1006205,1009134,2,223
1006033,1006206,2,669
1006033,1003674,2,149
1006033,1002425,2,295
1006033,1006205,2,388
1006033,1006034,2,710
1006033,1003457,2,744
1006033,1009134,2,600
1006034,1001979,2,691
1006034,1006036,2,876
1006034,1006206,2,82
1006034,1003674,2,577
1006034,1002425,2,954
1006034,1006033,2,710
1006034,1003457,2,846
1001509,1006035,2,917
1001509,1001785,2,786
1001509,1000165,2,549
1001509,1002556,2,218
1001509,1000203,2,661
1001509,1001784,2,1000
1001509,1000166,2,516
1001785,1001509,2,786
1001785,1000165,2,252
1001785,1002556,2,935
1001785,1001784,2,217
1001785,1000166,2,367
1001785,KJ21,2,338
1003320,1000484,2,748
1003320,1001784,2,921
1003320,1001578,2,408
1003320,1000270,2,752
1003320,1003392,2,76
1003320,1000671,2,964
1000484,1003320,2,748
1000484,1001578,2,555
1000484,1000270,2,63
1000484,1003392,2,699
1000484,1001907,2,760
1000484,1004135,2,824
1005034,1000944,2,999
1005034,1005062,2,955
1005034,1001247,2,927
1005034,1003264,2,679
1005034,1000600,2,68
1005034,1001907,2,550
1005034,1000419,2,881
1005034,1000518,2,850
1005034,1004135,2,546
1005034,12000759,2,995
1000944,1005034,2,999
1000944,1003538,2,627
1000944,1002012,2,327
1000944,1000836,2,451
1000944,1000980,2,970
1000944,1002865,2,466
1000944,1005767,2,919
1000944,1005769,2,437
1000944,1008646,2,260
1000944,1002264,2,508
1000944,1003656,2,966
1000944,1005062,2,368
1000944,1001247,2,95
1000944,1003264,2,376
1000944,12000479,2,526
1000944,12000759,2,5
1000944,12000761,2,963
1000944,12000762,2,455
1003538,1000944,2,627
1003538,1004190,2,471
1003538,1002012,2,951
