trip_id,route_id,service_id,shape_id,trip_headsign,direction_id,agency_name
weekday_S4060_S406002_2rapidkl,S4060,weekdayrapidkl,S406002,,0,Rapid KL
weekday_S4060_S406002_1rapidkl,S4060,weekdayrapidkl,S406002,,0,Rapid KL
weekday_S4060_S406002_0rapidkl,S4060,weekdayrapidkl,S406002,,0,Rapid KL
weekend_S4060_S406002_2rapidkl,S4060,weekendrapidkl,S406002,,0,Rapid KL
weekend_S4060_S406002_1rapidkl,S4060,weekendrapidkl,S406002,,0,Rapid KL
weekend_S4060_S406002_0rapidkl,S4060,weekendrapidkl,S406002,,0,Rapid KL
weekend_S0100_S010002_0rapidkl,S0100,weekendrapidkl,S010002,,0,Rapid KL
weekday_S0100_S010002_0rapidkl,S0100,weekdayrapidkl,S010002,,0,Rapid KL
weekday_S3040_S304002_1rapidkl,S3040,weekdayrapidkl,S304002,,0,Rapid KL
weekday_S3040_S304002_0rapidkl,S3040,weekdayrapidkl,S304002,,0,Rapid KL
weekend_S3040_S304002_1rapidkl,S3040,weekendrapidkl,S304002,,0,Rapid KL
weekend_S3040_S304002_0rapidkl,S3040,weekendrapidkl,S304002,,0,Rapid KL
weekend_S1040_S104002_1rapidkl,S1040,weekendrapidkl,S104002,,0,Rapid KL
weekend_S1040_S104002_0rapidkl,S1040,weekendrapidkl,S104002,,0,Rapid KL
weekday_S1040_S104002_1rapidkl,S1040,weekdayrapidkl,S104002,,0,Rapid KL
weekday_S1040_S104002_0rapidkl,S1040,weekdayrapidkl,S104002,,0,Rapid KL
weekend_S1140_S114002_3rapidkl,S1140,weekendrapidkl,S114002,,0,Rapid KL
weekend_S1140_S114002_2rapidkl,S1140,weekendrapidkl,S114002,,0,Rapid KL
weekend_S1140_S114002_1rapidkl,S1140,weekendrapidkl,S114002,,0,Rapid KL
weekend_S1140_S114002_0rapidkl,S1140,weekendrapidkl,S114002,,0,Rapid KL
weekday_S1140_S114002_3rapidkl,S1140,weekdayrapidkl,S114002,,0,Rapid KL
weekday_S1140_S114002_2rapidkl,S1140,weekdayrapidkl,S114002,,0,Rapid KL
weekday_S1140_S114002_1rapidkl,S1140,weekdayrapidkl,S114002,,0,Rapid KL
weekday_S1140_S114002_0rapidkl,S1140,weekdayrapidkl,S114002,,0,Rapid KL
weekday_S1030_S103002_0rapidkl,S1030,weekdayrapidkl,S103002,,0,Rapid KL
weekend_S1030_S103002_0rapidkl,S1030,weekendrapidkl,S103002,,0,Rapid KL
weekend_S3020_S302002_10rapidkl,S3020,weekendrapidkl,S302002,,0,Rapid KL
weekend_S3020_S302002_9rapidkl,S3020,weekendrapidkl,S302002,,0,Rapid KL
weekend_S3020_S302002_8rapidkl,S3020,weekendrapidkl,S302002,,0,Rapid KL
weekend_S3020_S302002_7rapidkl,S3020,weekendrapidkl,S302002,,0,Rapid KL
weekend_S3020_S302002_6rapidkl,S3020,weekendrapidkl,S302002,,0,Rapid KL
weekend_S3020_S302002_5rapidkl,S3020,weekendrapidkl,S302002,,0,Rapid KL
weekend_S3020_S302002_4rapidkl,S3020,weekendrapidkl,S302002,,0,Rapid KL
weekend_S3020_S302002_3rapidkl,S3020,weekendrapidkl,S302002,,0,Rapid KL
weekend_S3020_S302002_2rapidkl,S3020,weekendrapidkl,S302002,,0,Rapid KL
weekend_S3020_S302002_1rapidkl,S3020,weekendrapidkl,S302002,,0,Rapid KL
weekend_S3020_S302002_0rapidkl,S3020,weekendrapidkl,S302002,,0,Rapid KL
weekday_S3020_S302002_10rapidkl,S3020,weekdayrapidkl,S302002,,0,Rapid KL
weekday_S3020_S302002_9rapidkl,S3020,weekdayrapidkl,S302002,,0,Rapid KL
weekday_S3020_S302002_8rapidkl,S3020,weekdayrapidkl,S302002,,0,Rapid KL
weekday_S3020_S302002_7rapidkl,S3020,weekdayrapidkl,S302002,,0,Rapid KL
weekday_S3020_S302002_6rapidkl,S3020,weekdayrapidkl,S302002,,0,Rapid KL
